id,feature,subsystem,description,value,status,implemented,wired,tested,executed,reproducible,completion_percent,evidence,runtime_entrypoint,test_coverage,security_significance,dependencies,missing_work,acceptance_criteria,verification_command,estimated_effort,priority
FT50,Sentinel and economic halt,Governance,Sentinel and economic halt,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,pallets/x3-sentinel/src/lib.rs:1; pallets/x3-invariants/src/lib.rs:618,pallets/x3-sentinel/src/lib.rs:1,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Prove halt scope covers privileged/unsigned paths and refunds remain available.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Prove halt scope covers privileged/unsigned paths and refunds remain available.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT51,Council / treasury / upgrades,Governance,Council / treasury / upgrades,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,runtime/src/lib.rs:543; runtime/src/lib.rs:826,runtime/src/lib.rs:543,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,"Prove threshold, timelock, session/treasury separation and upgrade recovery.","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Prove threshold, timelock, session/treasury separation and upgrade recovery.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT52,Wallet / biometric / recovery pallet,Crypto,Wallet / biometric / recovery pallet,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,pallets/x3-wallet-pallet/src/lib.rs:263,pallets/x3-wallet-pallet/src/lib.rs:263,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,"Independently audit recovery authorization, privacy and biometric replay resistance.","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Independently audit recovery authorization, privacy and biometric replay resistance.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT53,TypeScript SDK encoding,Transactions,TypeScript SDK encoding,Required to make the advertised protocol or operator path dependable.,PLACEHOLDER,0,1,0,0,0,20,packages/ts-sdk/src/evm.ts:154; packages/ts-sdk/src/svm.ts:230,packages/ts-sdk/src/evm.ts:154,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,"Canonical selectors, addresses and account-message compilation (H12).","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Canonical selectors, addresses and account-message compilation (H12).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT54,Desktop / Tauri OS network integration,Operations,Desktop / Tauri OS network integration,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,apps/x3-desktop/src/blockchain/ChainManager.ts:59; apps/tauri-os/package.json:1,apps/x3-desktop/src/blockchain/ChainManager.ts:59,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Repair default network lookup; render and verify real signing/receipt flows (M06).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Repair default network lookup; render and verify real signing/receipt flows (M06).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT55,GPU / swarm orchestration,Operations,GPU / swarm orchestration,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,0,0,0,0,0,node/src/service.rs:1244; crates/x3-swarm-core/Cargo.toml:1,node/src/service.rs:1244,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,"Prove actual workload execution, required-feature startup failure and restart behavior.","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Prove actual workload execution, required-feature startup failure and restart behavior.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT56,CI test quality and coverage,Tests,CI test quality and coverage,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,Makefile:19; node/src/service.rs:2664,Makefile:19,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Stop swallowed failures and require real multi-node tests (H13/M02).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Stop swallowed failures and require real multi-node tests (H13/M02).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT57,Workspace build / release reproducibility,Deployment,Workspace build / release reproducibility,Required to make the advertised protocol or operator path dependable.,BLOCKED,0,0,0,0,0,0,evidence/check-complete.log; rust-toolchain.toml:3,evidence/check-complete.log,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Resolve duplicate-core WASM failure and reproduce artifacts (H18).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Resolve duplicate-core WASM failure and reproduce artifacts (H18).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT58,Fresh-machine bootstrap,Deployment,Fresh-machine bootstrap,Required to make the advertised protocol or operator path dependable.,BLOCKED,0,0,0,0,0,0,scripts/fresh_machine_check.sh:5; Makefile:61,scripts/fresh_machine_check.sh:5,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Pin toolchain/dependencies and correct package/target names (L01).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Pin toolchain/dependencies and correct package/target names (L01).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT59,Deployment isolation and validator services,Operations,Deployment isolation and validator services,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,packaging/systemd/x3-validator.service:1,packaging/systemd/x3-validator.service:1,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Run least-privilege validator installation and backup/restore rehearsal.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Run least-privilege validator installation and backup/restore rehearsal.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT60,Sustained finalized TPS evidence,Performance,Sustained finalized TPS evidence,Required to make the advertised protocol or operator path dependable.,MISSING,0,0,0,0,0,0,crates/x3-bench/src/runner.rs:251,crates/x3-bench/src/runner.rs:251,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Run controlled network workload; compiler throughput is not chain TPS (M07).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Run controlled network workload; compiler throughput is not chain TPS (M07).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P3
FT61,Mainnet / ProofGate enforcement,Proof gates,Mainnet / ProofGate enforcement,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,scripts/mainnet_release_gate.py:84; Makefile:19,scripts/mainnet_release_gate.py:84,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Bind every gate to source/features/artifacts and propagate failures (H13/H14).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Bind every gate to source/features/artifacts and propagate failures (H13/H14).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT62,Documentation accuracy / scoreboard,Documentation,Documentation accuracy / scoreboard,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,0,0,0,0,0,CURRENT_MAINNET_STATUS.md:3; FEATURE_REGISTRY.toml:18,CURRENT_MAINNET_STATUS.md:3,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Derive operational status from fresh executable proofs (M01).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Derive operational status from fresh executable proofs (M01).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT63,Public testnet recovery drill evidence,Operations,Public testnet recovery drill evidence,Required to make the advertised protocol or operator path dependable.,MISSING,0,0,0,0,0,0,node/src/service.rs:2664; scripts/snapshot-restore.sh:130,node/src/service.rs:2664,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Produce four-validator partition/rejoin and restored finalized-state evidence.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Produce four-validator partition/rejoin and restored finalized-state evidence.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT64,Independent launch approval evidence,Proof gates,Independent launch approval evidence,Required to make the advertised protocol or operator path dependable.,MISSING,0,0,0,0,0,0,LAUNCH_SCOPE.md:1,LAUNCH_SCOPE.md:1,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,"Obtain external security review, closure retest and operator-signed release decision.","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Obtain external security review, closure retest and operator-signed release decision.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
