ref	kind	state	detail
refs/heads/fix/provider-secrets	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/readiness-matrix-svm-routes	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/relayer-real-solana-verifier-351	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/relayer-real-submission	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/release-gate-target-dir	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/remove-unsigned-finalization	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/reqwest-0.12-migration	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/reusable-call-concurrency	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/risk-scorer-trading-core-v1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/runtime-evm-envelope-validation	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/runtime-hash-helper	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/runtime-orphan-placeholder-tests	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/runtime-variants-tuples-96	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/self-hosted-apt-step	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/settlement-proof-set-gate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/settlement-proofs-fail-closed	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/settlement-test-target-compiles	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/shipped-genesis-boots	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/sidecar-lockfile	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/soak-launcher-and-anchor-retry	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/stress-harness-rate-limit	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/svm-htlc-native-custody	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/svm-htlc-native-custody-master	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/svm-lifecycle-ignore-ambient-target-dir	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/swarm-determinism-fail-closed	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/testnet-bringup-path	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/testnet-spec-builder	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/trading-core-v1-mainnet-and-audit-blindness	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/typed-evm-receipts	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/vacuous-tests-assert-something	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/validator-key-management-audit	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/verifier-fail-closed	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/wallet-cli-honest-and-member	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/wasm-std-feature-leak	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/workspace-membership-batch-1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/workspace-membership-batch-10	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/workspace-membership-batch-2	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/workspace-membership-batch-3	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/workspace-membership-batch-4	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/workspace-membership-batch-5	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3-evolution-fail-closed-contract	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3-mobile-sdk-member	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3-oracle-clippy	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3-pq-member	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3-sidecar-lib-target	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3-swap-router-two-generations	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3lang-frame-classification	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3lang-guard-evaluation	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3lang-policy-honesty	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3lang-proof-required	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3lang-proof-vocabulary	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3lang-sound-invariants	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3lang-surface-warnings	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3vm-evm-live-gate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/x3vm-svm-live-gate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/land-durable-recovery	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/land-durable-recovery-v2	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/lint/atomic-swap-std-cfg	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/mainnet/block-hook-panics	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/mainnet/inspect-real-assets	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/mainnet/panic-ratchet	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/mainnet/production-genesis-path	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/mainnet/release-artifacts	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/mainnet/release-gate-integrity	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/mainnet/runbook-reality	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/mainnet/testnet-genesis-gate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/mainnet/validator-install-path	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/mainnet/verified-proof-gate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/master	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/merge-into-master	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/merge/all-work-c3095b883	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/merge/x3-mcp-server	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ops/drain-actions-queue-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/pr-166-refresh	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/pr-181-check	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/pr-457-test	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/pr132-work	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/pr193-merge-master	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/reapply-features	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/rebase-310	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/retarget-batch8	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/salvage/evm-receipt-verify	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/salvage/foundry-real-evm-deploy	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/salvage/pr128-supervisor-tests	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/salvage/trading-core-20260918	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/salvage/x3lang-intent-bridge	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/sec/remove-dead-libp2p-deps	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/t5/fix-annotations-20260522-1458	local-branch	UNRELATED_LINEAGE	shares no history with master; preserved, must not be deleted
refs/heads/test/atomic-kernel-rollback-invariants	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/btc-header-push-drill	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/cross-domain-recovery-matrix-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/cross-domain-refund-recovery-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/distributed-atomic-chaos-harness-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/evm-bundle-gate-live	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/evm-header-anchor-live	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/evm-settlement-path-live	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/kernel-inflight-halt	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/rehearsal-genesis-state	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/runtime-migration-rehearsal	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/runtime-storage-version-alignment	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/runtime-variant-dryrun	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/strict-posture-cross-domain	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/test/validator-failure-drill	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/tmp/intent-bridge-rebase	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-0bbe9a3d0	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-0c802b730	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-2e42de58f	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-30b77c4a3	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-4fd3c6838	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-57a9e0124	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-65306adb4	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-7bb5fe2f3	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-82564a979	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-9f16ac461	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-bd8152273	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-deep	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-ec241c258	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/verify/master-fast	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/wip/chatgpt-mainnet-attestation-20260918	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/wip/consolidation-20260917/chatgpt-mainnet	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/wip/consolidation-20260917/main	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/wip/consolidation-20260917/pasted-text-processing	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/wip/consolidation-20260917/recovered-usb-clone	local-branch	UNRELATED_LINEAGE	shares no history with master; preserved, must not be deleted
refs/heads/wip/consolidation-20260917/x3-lang-prototype-20260621	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/wip/pr165-on-no-std-master	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/wip/prompts-to-skills-20260918	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/wip/x3-evolution-simulator-20260918	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/wip/x3lang-arb-graph-filter-20260919	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/wip/x3lang-objectives-20260918	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/wip/x3lang-preserve-packets-and-arbitrage-20260919	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/wip/x3lang-route-fallback-20260918	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/x3/nostd-port-only	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/x3lang-live-quotes	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/your-task-branch	local-branch	UNRELATED_LINEAGE	shares no history with master; preserved, must not be deleted
refs/remotes/origin/archive/local-20260920/codex/x3-economic-safety-kernel	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/codex/x3-trading-core-v1-hardening	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/docs/merge-queue-production-gate-lean	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/feat/canonical-cross-domain-proof-bundle-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/feat/idempotent-cross-domain-coordinator-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/feat/live-feature-matrix-20260912	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/feat/live-secret-release-firewall-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/feat/settlement-proofset-gate-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/feat/x3-lang-crosschain-integration-20260909	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/finish/x3vm-live-transport	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/finish/x3vm-live-transport-fix	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/fix/x3lang-frame-classification	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/fix/x3lang-proof-vocabulary	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/local-20260920/test/cross-domain-refund-recovery-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/archive/pr126-pre-master-rewrite-20260909	origin-branch	UNRELATED_LINEAGE	shares no history with master; preserved, must not be deleted
refs/remotes/origin/archive/stale-x3lang-trading-wip-20260918	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/codex/x3-economic-safety-kernel	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/dependabot/cargo/curve25519-dalek-5.0.0	origin-branch	NOT_ON_MASTER	commits not reachable from master yet
refs/remotes/origin/dependabot/cargo/lru-0.16.4	origin-branch	NOT_ON_MASTER	commits not reachable from master yet
refs/remotes/origin/dependabot/npm_and_yarn/apps/inferstructor-dashboard/npm_and_yarn-fa0e04ea13	origin-branch	NOT_ON_MASTER	commits not reachable from master yet
refs/remotes/origin/docs/matrix-third-pass	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/econsafety-kernel	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/fix/matrix-evidence-prose	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/master	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/merge/x3-mcp-server	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/ark-ec-0.6.0	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/ark-ff-0.6.0	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/ark-std-0.6.0	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/frame-benchmarking-cli-54f11b1	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/frame-support-54f11b1	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/hex-literal-1.1.0	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/libloading-0.9.0	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/minicbor-2.3.0	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/pallet-scheduler-54f11b1	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/pallet-staking-54f11b1	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/pallet-sudo-54f11b1	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/redis-1.7.0	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/sc-basic-authorship-54f11b1	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/sc-cli-54f11b1	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/sc-consensus-aura-54f11b1	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/sc-rpc-54f11b1	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/sc-rpc-api-54f11b1	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/sp-keystore-54f11b1	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/cargo/sp-version-54f11b1	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/codex-x3-economic-safety-kernel	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/codex-x3-trading-core-v1-hardening	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/feat-live-feature-matrix-20260912	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/feat-live-secret-release-firewall-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/feat-settlement-proofset-gate-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/feat-x3-lang-crosschain-integration-20260909	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/finish-x3vm-live-transport	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/finish-x3vm-live-transport-fix	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/merge-into-master	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/pip/psycopg2-binary-gte-2.9.13	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260918/test-cross-domain-refund-recovery-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/canonical-cross-domain-proof-bundle-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/cross-domain-refund-recovery-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/idempotent-cross-domain-coordinator-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/live-feature-matrix-20260912	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/live-secret-release-firewall-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/merge-queue-production-gate-lean	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/settlement-proofset-gate-20260911	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/x3-economic-safety-kernel	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/x3-lang-crosschain-integration-20260909	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/x3-trading-core-v1-hardening	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/x3lang-frame-classification	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/x3lang-proof-vocabulary	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/x3vm-live-transport	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/preserve/20260919/x3vm-live-transport-fix	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/wip/chatgpt-mainnet-attestation-20260918	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/wip/prompts-to-skills-20260918	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/wip/x3lang-arb-graph-filter-20260919	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/origin/wip/x3lang-preserve-packets-and-arbitrage-20260919	origin-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/remotes/atomicstar/Cyptopimpinainteazy-patch-1	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/agents/feature-prioritization-and-execution-plan	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/autoprove-yolo-v0	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/axum-0.8.9	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/cargo-2dfe81512a	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/config-0.14.1	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/curve25519-dalek-5.0.0	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/dashmap-6.2.1	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/ed25519-zebra-4.2.0	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/hex-literal-1.1.0	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/jsonrpsee-0.26.0	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
refs/remotes/atomicstar/dependabot/cargo/k256-0.14.0	atomicstar-branch	SEPARATE_REPO	atomicstar remote: different repository, unrelated history
